"","response","updated_response"
"10038",0,0
"100381270",0,0
"10039",0,0
"1004",0,0
"10040",0,0
"10042",0,0
"100423062",0,0
"10043",0,1
"100431172",0,0
"10044",0,0
"10045",0,0
"10046",1,1
"100462977",0,0
"100463486",0,0
"10047",0,0
"10048",0,0
"10049",1,1
"100499483",0,0
"1005",0,0
"10050",0,0
"100500938",0,0
"100505591",0,0
"100505679",0,0
"100505724",0,0
"100505753",0,0
"100505876",0,0
"100506012",0,0
"100506049",0,0
"100506144",0,0
"100506243",0,0
"100506564",0,0
"100506581",0,0
"100506658",1,1
"100506713",0,0
"100506736",0,0
"100506742",0,0
"100506888",0,0
"100507003",0,0
"100507203",0,0
"100507290",0,0
"100507341",0,0
"100507421",0,0
"100507588",0,0
"100507608",0,0
"10051",0,0
"10052",0,0
"100526693",0,0
"100526739",0,0
"100526740",0,0
"100526760",0,0
"100526761",0,0
"100526767",0,0
"100526772",0,0
"100526773",0,0
"100526794",0,0
"100526825",0,0
"100526835",0,0
"100526836",0,0
"100526842",0,0
"100527963",0,0
"100528019",0,0
"100528030",0,0
"100529097",0,0
"100529144",0,0
"100529209",0,0
"100529240",0,0
"100529261",0,0
"10053",0,0
"100532726",0,0
"100533106",0,0
"100533107",0,0
"100533177",0,0
"100533179",0,0
"100533181",0,0
"100533496",0,0
"100534599",0,0
"10054",0,0
"10055",0,0
"10056",1,1
"10057",0,0
"10058",1,1
"10059",1,1
"1006",0,0
"10060",1,1
"10061",0,0
"10062",0,0
"10063",0,0
"100652824",0,0
"100653515",0,0
"10066",0,0
"10067",0,0
"10068",0,1
"10069",0,0
"1007",0,0
"10071",0,0
"10072",0,0
"10073",0,0
"10075",1,1
"10076",0,0
"10077",0,0
"10078",0,0
"10079",0,0
"1008",0,0
"10081",0,0
"10082",1,1
"100820829",0,0
"10083",1,1
"10084",1,1
"10085",0,0
"10086",0,0
"10087",1,1
"100885850",0,0
"10089",0,0
"1009",1,1
"10090",0,0
"10092",0,0
"10093",0,0
"10094",0,0
"10095",1,1
"10096",0,0
"10097",0,0
"10098",0,0
"10099",0,0
"100996331",0,0
"100996485",0,0
"100996939",0,0
"101",0,0
"1010",0,0
"10100",0,0
"10101",0,0
"10102",1,1
"10103",0,0
"10105",0,0
"101055625",0,0
"10106",0,0
"101060200",0,0
"10109",0,0
"10110",0,0
"10111",1,1
"10112",1,1
"10113",0,0
"10114",0,0
"10116",0,0
"10117",1,1
"1012",0,0
"10120",0,0
"10121",0,0
"10123",0,0
"10124",0,0
"10125",1,1
"10126",1,1
"10127",0,0
"10128",1,1
"10129",0,0
"1013",1,1
"10130",0,0
"10131",0,0
"10133",1,1
"10134",1,1
"10135",0,0
"10136",0,0
"10137",1,1
"10138",0,0
"10139",0,0
"1014",0,0
"10140",0,0
"10141",0,0
"10142",1,1
"10143",0,0
"10144",1,1
"10146",0,0
"10147",0,0
"10148",0,0
"10149",1,1
"1015",0,0
"10150",0,0
"10152",0,0
"10153",0,0
"10154",0,0
"10155",1,1
"10156",0,0
"10157",1,1
"10158",0,0
"10159",1,1
"1016",0,0
"10160",0,0
"10161",1,1
"10162",0,0
"10163",0,0
"10164",0,0
"10165",1,1
"10166",1,1
"10168",0,0
"10169",0,0
"1017",0,0
"10170",0,0
"10171",0,0
"10172",0,0
"10174",0,0
"10175",0,0
"10178",0,0
"10179",0,0
"1018",0,0
"10180",0,0
"10181",0,0
"10184",0,0
"10186",0,0
"10188",0,0
"10189",0,0
"1019",1,1
"10190",0,0
"10193",0,0
"10194",1,1
"10195",1,1
"10196",0,0
"10197",0,0
"10198",0,0
"10199",0,0
"102",1,1
"1020",1,1
"10200",0,0
"10201",0,0
"10202",0,0
"10203",1,1
"10204",0,0
"10205",1,1
"10206",0,0
"10207",0,0
"10208",0,0
"10209",0,0
"1021",1,1
"10210",1,1
"10212",0,0
"10213",0,0
"10214",0,0
"10215",0,0
"10216",1,1
"10217",0,0
"10218",0,0
"10219",0,0
"1022",0,0
"10220",0,1
"10221",0,0
"10223",0,0
"10224",0,0
"10225",1,1
"10226",0,0
"10227",0,0
"10228",0,0
"10229",1,1
"10231",0,0
"10232",0,0
"10233",0,0
"10234",0,0
"10235",1,1
"10236",0,0
"10237",0,0
"10238",0,0
"10239",0,0
"1024",1,1
"10240",0,0
"10241",0,0
"10242",0,0
"10243",1,1
"10244",0,0
"10245",0,0
"10246",0,0
"10247",0,0
"10248",0,0
"10249",0,0
"1025",0,0
"10250",0,0
"10252",0,0
"10253",1,1
"10254",0,0
"10256",0,0
"10257",0,0
"1026",1,1
"10260",0,0
"10261",0,0
"10262",1,1
"10263",0,0
"10265",1,1
"10266",0,0
"10267",0,0
"10268",0,0
"10269",1,1
"1027",1,1
"10270",0,0
"10272",0,0
"10273",1,1
"10274",1,1
"10276",0,0
"10277",0,1
"10278",0,0
"10279",0,0
"1028",1,1
"10280",1,1
"10281",0,0
"10282",0,0
"10283",1,1
"10284",0,0
"10285",0,0
"10286",0,0
"10287",0,0
"10288",0,0
"10289",0,0
"1029",1,1
"10290",1,1
"10291",0,0
"10293",1,1
"10294",0,0
"10295",1,1
"10296",0,0
"10297",1,1
"10298",0,0
"10299",1,1
"103",1,1
"1030",1,1
"10300",1,1
"10302",0,0
"10307",0,0
"10308",0,0
"10309",1,1
"1031",1,1
"10311",0,0
"10312",1,1
"10313",0,0
"10314",0,0
"10316",0,0
"10317",0,0
"10318",0,0
"10319",1,1
"1032",0,0
"10320",1,1
"10321",0,0
"10322",0,0
"10324",1,1
"10325",0,0
"10326",0,0
"10327",0,0
"10328",0,0
"10329",1,1
"1033",0,0
"10330",0,0
"10331",0,0
"10332",0,0
"10333",0,0
"10335",0,0
"10336",0,0
"10342",1,1
"10343",0,0
"10344",0,0
"10345",1,1
"10346",0,0
"10347",1,1
"10349",0,0
"10350",0,0
"10351",0,0
"10352",1,1
"1036",0,0
"10360",0,0
"10361",0,0
"10362",0,0
"10363",0,0
"10365",0,0
"10367",1,1
"10368",0,0
"10369",1,1
"10370",1,1
"10371",1,1
"10376",0,0
"10379",0,1
"1038",0,0
"10380",0,0
"10381",1,1
"10382",1,1
"10383",1,1
"10384",0,0
"10385",0,0
"10388",1,1
"10389",0,0
"1039",0,0
"10390",0,0
"10391",0,0
"103910",0,0
"10392",0,0
"10393",0,0
"10394",0,0
"10395",0,0
"10396",0,0
"10397",1,1
"10398",0,1
"10399",0,0
"104",0,1
"1040",0,0
"10400",0,0
"10401",0,0
"10402",0,0
"10403",0,0
"10404",0,0
"10406",0,0
"10409",0,0
"10410",0,0
"10411",0,0
"10412",0,0
"10413",1,1
"10417",0,0
"10418",0,0
"10419",0,0
"10420",0,0
"10421",0,0
"10422",0,0
"10423",0,0
"10424",0,0
"10425",0,0
"10426",0,0
"10427",0,0
"10428",0,0
"1043",0,0
"10430",0,0
"10432",0,0
"10434",0,0
"10435",0,0
"10437",0,0
"10438",0,0
"10439",0,0
"1044",0,0
"10440",0,0
"10443",0,0
"10444",0,0
"10445",0,0
"10446",0,0
"10447",0,0
"10449",0,0
"1045",0,0
"10450",0,0
"10451",0,0
"10452",1,1
"10454",0,0
"10455",0,0
"10456",1,1
"10457",1,1
"10458",0,0
"10459",1,1
"1046",0,0
"10460",0,0
"10461",1,1
"10462",0,0
"10463",1,1
"10464",1,1
"10465",0,0
"10466",1,1
"10467",0,0
"10468",0,0
"10469",0,0
"1047",0,0
"10472",1,1
"10473",0,0
"10474",0,0
"10475",0,0
"10476",0,0
"10477",0,0
"10478",0,0
"10479",1,1
"1048",0,0
"10480",0,0
"10481",0,0
"10482",0,0
"10483",1,1
"10484",1,1
"10485",0,0
"10486",1,1
"10487",0,0
"10488",0,0
"10489",0,0
"10490",0,0
"10491",1,1
"10492",0,1
"10493",0,0
"10494",0,0
"10495",0,0
"10497",0,0
"10498",0,0
"10499",0,0
"105",0,0
"1050",0,0
"10500",0,0
"10501",0,1
"10505",0,0
"10507",0,1
"10509",0,0
"1051",0,0
"10512",1,1
"10513",0,0
"10514",0,0
"10516",1,1
"10517",0,0
"10518",1,1
"10519",1,1
"1052",0,0
"10520",0,0
"10521",0,0
"10522",1,1
"10523",0,0
"10524",0,1
"10525",1,1
"10526",0,1
"10527",0,0
"10528",1,1
"10529",1,0
"1053",1,1
"10531",0,1
"10533",0,1
"10534",0,0
"10535",1,1
"10536",0,0
"10538",0,0
"10539",0,0
"1054",0,0
"10540",0,0
"10541",0,0
"10542",0,0
"10544",0,0
"10548",0,0
"10549",0,0
"10550",0,0
"10551",0,0
"10552",0,0
"10553",0,0
"10555",1,1
"10556",0,0
"10557",0,0
"10558",0,1
"10559",1,1
"1056",1,1
"10560",1,1
"10561",0,0
"10562",0,0
"10563",0,0
"10564",1,1
"10565",0,0
"10566",0,0
"10567",0,0
"10568",1,1
"10569",0,0
"10570",0,0
"10572",0,0
"10573",0,0
"10574",0,0
"10575",0,0
"10576",0,0
"10577",1,1
"10578",0,0
"10579",0,0
"1058",0,0
"10580",0,0
"10581",0,0
"10584",1,1
"10585",1,1
"10586",1,1
"10587",1,1
"10588",1,1
"10589",0,0
"1059",0,0
"10590",0,0
"10591",0,0
"10592",0,0
"10594",1,1
"10595",0,0
"10598",0,0
"10599",1,1
"1060",0,0
"10600",0,0
"10602",0,0
"10603",0,0
"10605",0,0
"10606",0,0
"10607",0,0
"10608",0,0
"10609",0,0
"10610",0,0
"10611",0,0
"10612",0,0
"10613",1,1
"10614",0,0
"10615",0,0
"10616",1,1
"10617",1,1
"10618",0,0
"1062",1,1
"10620",0,0
"10621",0,0
"10622",0,0
"10623",0,0
"10625",0,1
"10626",0,0
"10627",0,0
"10628",0,0
"10629",0,0
"1063",1,1
"10630",0,1
"10631",0,0
"10632",0,0
"10633",0,0
"10634",0,0
"10635",0,0
"10636",0,0
"10637",0,0
"10640",0,0
"10641",1,1
"10642",0,0
"10643",0,0
"10644",1,1
"10645",0,0
"10647",0,0
"10648",0,0
"10650",0,0
"10651",0,1
"10652",0,0
"10653",1,1
"10654",1,1
"10655",0,0
"10656",0,0
"10657",0,0
"10658",0,0
"10659",0,1
"1066",0,1
"10660",0,1
"10661",1,1
"10663",0,0
"10664",1,1
"10666",0,0
"10667",1,1
"10668",0,0
"10669",0,0
"10670",0,0
"10671",0,0
"10672",0,0
"10673",0,0
"10675",0,0
"10677",0,1
"10678",0,0
"1068",0,0
"10681",1,1
"10682",1,1
"10683",1,1
"10686",1,1
"10687",0,0
"1069",0,0
"10690",0,0
"10691",0,0
"10692",0,0
"10693",0,0
"10694",0,0
"10695",1,1
"10699",1,1
"107",1,1
"1070",0,0
"1071",1,1
"10712",0,0
"10713",0,0
"10714",0,0
"10715",1,1
"10716",1,1
"10717",1,1
"10718",0,0
"1072",0,0
"10720",0,0
"10721",0,0
"10723",0,0
"10724",0,0
"10725",0,0
"10726",0,0
"10728",0,0
"1073",1,1
"10730",1,1
"10732",0,0
"10733",1,1
"10734",1,1
"10735",1,1
"10736",1,1
"10737",0,0
"10738",0,0
"10739",0,0
"10741",0,0
"10742",0,0
"10743",1,1
"10744",0,0
"10745",0,0
"10746",0,0
"10747",1,1
"10749",1,1
"1075",1,1
"10750",1,1
"10752",0,0
"10753",0,0
"10755",0,1
"10758",1,1
"10761",0,0
"10762",0,0
"10763",0,0
"10765",1,1
"10766",0,0
"10767",0,0
"10768",0,0
"10769",0,0
"10771",1,1
"10773",0,0
"10775",0,0
"10776",0,0
"10777",0,0
"10780",0,0
"10781",0,0
"10782",0,0
"10783",0,0
"10785",1,1
"10786",0,0
"10787",0,0
"10788",0,0
"10791",0,0
"10793",0,0
"10794",0,0
"10795",0,0
"10797",0,0
"10798",0,0
"10799",0,0
"108",0,0
"1080",1,1
"10800",0,0
"10801",1,1
"10802",0,0
"10803",0,0
"10804",1,1
"10806",1,1
"10807",0,0
"10808",0,0
"10809",0,0
"1081",0,0
"10810",0,0
"10811",0,0
"10813",0,0
"10814",0,0
"10815",1,1
"10816",0,0
"10817",0,0
"10818",0,0
"1082",0,0
"10825",0,0
"10826",0,0
"10827",0,0
"10838",0,0
"1084",0,1
"10840",0,0
"10841",1,1
"10842",1,1
"10844",1,1
"10845",1,1
"10846",1,1
"10847",1,1
"10848",0,0
"10849",0,0
"10850",0,0
"10855",0,0
"10856",0,0
"10857",0,0
"10858",0,0
"10859",0,0
"10861",1,1
"10863",0,0
"10864",0,0
"10865",0,0
"10867",0,0
"10868",0,0
"10869",0,0
"1087",0,0
"10870",0,0
"10871",0,0
"10873",0,0
"10874",0,0
"10875",0,0
"10876",0,0
"10877",0,0
"10878",1,1
"10879",0,0
"1088",0,0
"10880",0,0
"10881",0,0
"10882",0,0
"10884",0,0
"10885",0,0
"10886",0,0
"10887",0,0
"10888",0,0
"1089",0,0
"10890",0,0
"10891",1,1
"10892",1,1
"10893",0,0
"10894",0,0
"10896",0,0
"10897",0,0
"10898",0,0
"10899",0,0
"109",1,1
"10900",0,0
"10901",0,0
"10902",0,0
"10903",0,0
"10904",0,0
"10905",0,0
"10906",0,0
"10907",1,1
"10908",1,1
"10910",0,0
"10911",0,0
"10912",0,0
"10913",1,1
"10914",0,0
"10915",0,0
"10916",1,1
"10917",0,0
"10920",0,0
"10921",0,0
"10922",0,0
"10923",0,0
"10924",0,0
"10926",0,0
"10927",0,0
"10928",0,0
"10930",0,0
"10933",0,0
"10935",0,0
"10936",0,0
"10938",0,0
"10939",1,1
"10940",1,1
"10941",0,0
"10942",0,0
"10943",0,1
"10944",0,0
"10945",0,0
"10946",0,0
"10947",0,0
"10948",0,0
"10949",0,0
"10950",0,0
"10951",0,0
"10952",0,0
"10953",0,0
"10954",0,0
"10955",0,0
"10956",0,0
"10957",0,0
"10959",0,0
"10960",0,0
"10961",0,0
"10962",0,0
"10963",0,0
"10964",0,0
"10965",0,0
"10966",0,0
"10969",0,0
"10970",0,0
"10971",0,0
"10972",0,0
"10973",0,0
"10974",0,0
"10975",0,0
"10978",1,1
"10979",0,0
"10980",0,0
"10981",0,0
"10982",1,1
"10983",0,0
"10985",0,0
"10987",0,0
"10988",0,0
"10989",0,0
"10990",0,0
"10992",0,1
"10993",0,0
"10994",0,0
"10998",0,0
"10999",1,1
"11000",0,0
"11001",0,0
"11004",0,0
"11005",1,1
"11006",0,0
"11007",0,0
"11009",0,0
"1101",0,0
"11010",0,0
"11011",1,1
"11012",0,0
"11013",0,0
"11014",0,1
"11015",0,0
"11016",0,0
"11017",0,0
"11018",0,0
"11019",1,1
"1102",0,0
"11020",1,1
"11021",0,0
"11022",0,0
"11023",1,1
"11024",0,0
"11025",0,0
"11027",0,0
"1103",1,1
"11030",0,0
"11031",0,0
"11033",0,0
"11034",0,0
"11035",0,0
"11036",0,0
"11037",0,0
"1104",0,0
"11040",0,0
"11041",1,1
"11043",1,1
"11044",0,0
"11045",0,0
"11046",0,0
"11047",0,0
"1105",1,1
"11051",0,0
"11052",0,0
"11054",0,0
"11055",0,0
"11057",0,0
"11059",0,0
"1106",1,1
"11060",0,0
"11061",0,0
"11062",0,0
"11063",0,0
"11064",0,0
"11065",0,0
"11066",0,0
"11067",0,0
"11068",0,0
"11069",0,0
"1107",1,1
"11070",0,0
"11073",0,0
"11075",0,0
"11076",0,0
"11077",0,1
"11078",1,1
"11079",0,0
"1108",1,1
"11080",0,0
"11081",1,1
"11082",0,0
"11083",0,0
"11085",0,0
"11086",0,0
"1109",1,1
"11091",0,0
"11092",0,0
"11093",1,1
"11094",0,0
"11095",0,0
"11096",0,0
"11097",0,0
"11098",0,0
"11099",0,0
"111",1,1
"11100",0,0
"11101",0,0
"11102",0,0
"11103",0,0
"11104",0,0
"11105",0,0
"11107",1,1
"11108",0,0
"1111",0,0
"11112",0,0
"11113",1,1
"11116",0,0
"11117",0,0
"11118",0,0
"11119",0,0
"1112",0,0
"11120",0,0
"11122",0,0
"11123",0,0
"11124",0,0
"11126",0,0
"11127",0,0
"11128",1,1
"11129",0,0
"1113",0,0
"11130",0,0
"11131",0,0
"11132",0,0
"11133",1,1
"11135",0,0
"11136",1,1
"11137",0,0
"11138",0,0
"1114",0,0
"11140",0,0
"11141",1,1
"11142",0,0
"11143",0,0
"11144",0,0
"11145",0,0
"11146",1,1
"11147",0,0
"11148",0,0
"11149",1,1
"11151",1,1
"11152",1,1
"11153",0,0
"11154",1,1
"11155",1,1
"11156",0,0
"11157",0,0
"11158",0,0
"11159",0,0
"1116",1,1
"11160",1,1
"11161",0,0
"11162",0,0
"11163",0,0
"11164",0,0
"11166",0,0
"11167",0,0
"11168",0,0
"11169",0,0
"1117",0,0
"11170",0,0
"11171",0,0
"11172",0,0
"11173",0,0
"11174",0,0
"11176",0,0
"11177",0,0
"11178",0,0
"11179",0,0
"1118",0,0
"11180",0,0
"11181",1,1
"11182",0,0
"11183",0,0
"11184",0,0
"11185",0,0
"11186",0,0
"11187",0,0
"11188",0,0
"11189",0,0
"1119",0,0
"11190",1,1
"11193",0,0
"11194",0,0
"11196",0,0
"11197",0,0
"11198",0,1
"11199",0,0
"112",1,1
"1120",1,1
"11200",1,1
"11201",0,0
"11202",0,0
"1121",1,1
"11211",0,0
"11212",1,1
"11213",0,0
"11214",0,0
"11215",0,0
"11216",1,0
"11218",0,0
"11219",0,0
"1122",0,0
"11221",0,0
"11222",1,1
"11223",0,0
"11224",1,1
"11226",0,0
"11227",0,0
"11228",0,0
"1123",1,1
"11230",0,0
"11231",1,1
"11232",1,1
"11234",1,1
"11235",1,1
"11236",0,0
"11237",0,0
"11238",0,0
"112399",0,0
"1124",0,0
"11240",0,0
"112401",0,0
"11243",0,0
"11244",0,0
"11245",0,0
"112464",0,0
"11247",0,0
"112476",1,1
"112479",0,0
"11248",0,0
"112483",0,0
"112487",0,0
"11249",0,0
"112495",0,0
"11250",0,0
"11251",0,0
"11252",0,0
"11253",1,1
"11255",0,0
"112574",0,0
"11258",0,0
"11259",0,0
"11260",0,0
"112609",1,1
"11261",1,1
"112611",0,0
"112616",0,0
"11262",0,0
"11264",0,0
"11266",0,0
"11267",0,0
"11269",0,0
"112703",0,0
"112714",0,0
"112724",0,0
"11273",0,0
"11274",1,1
"112744",1,1
"11275",0,0
"112752",1,1
"112755",1,1
"11277",1,1
"112770",0,0
"11278",0,0
"11279",0,0
"1128",0,0
"11280",1,1
"112802",1,1
"11281",1,1
"112817",1,1
"11282",0,0
"11283",0,0
"11284",1,1
"112840",0,0
"112849",0,0
"11285",1,1
"112858",1,1
"112869",0,0
"112885",0,0
"1129",0,0
"112936",0,0
"112937",0,0
"112939",1,1
"112942",0,0
"112950",0,0
"113",0,0
"1130",1,1
"113000",0,0
"113026",0,0
"11309",0,0
"113091",0,0
"1131",1,1
"11311",1,1
"113115",0,0
"11313",0,0
"113130",0,0
"11314",0,0
"113146",0,0
"11315",1,1
"11316",0,0
"11317",0,0
"113174",0,0
"113177",0,0
"113178",0,0
"113179",1,1
"11318",0,0
"113189",1,1
"11319",0,0
"1132",0,0
"11320",0,0
"113201",0,0
"11321",0,0
"11322",1,1
"113220",0,1
"113230",0,0
"113235",1,1
"113246",1,1
"11325",0,0
"113251",0,0
"11326",0,0
"113263",0,0
"113277",0,0
"113278",1,1
"11328",0,0
"11329",0,0
"1133",0,0
"11330",1,1
"11331",0,0
"11332",0,0
"11333",0,0
"11334",0,0
"11335",0,0
"11336",0,0
"11337",0,0
"11338",0,0
"11339",0,0
"1134",1,1
"11340",1,1
"113402",0,0
"11341",0,0
"113419",0,0
"11342",1,1
"11343",0,0
"11344",0,0
"113444",0,0
"11345",0,0
"113451",0,0
"113452",0,0
"113457",1,1
"11346",0,0
"1135",1,1
"113510",0,0
"113540",0,0
"1136",1,1
"113612",1,1
"113622",0,0
"113655",0,0
"113675",0,0
"1137",1,1
"113730",0,0
"113746",0,0
"113763",0,0
"113791",0,0
"1138",0,0
"113802",0,0
"113828",0,0
"113829",0,0
"113835",0,0
"113878",0,0
"1139",1,1
"114",0,0
"1140",1,1
"114026",0,0
"114034",1,1
"114049",0,1
"114088",0,0
"1141",1,1
"114112",0,0
"114131",0,0
"114132",0,0
"114134",0,0
"1142",0,0
"114294",0,0
"1143",0,0
"114327",1,1
"114336",0,0
"1144",1,1
"1145",1,1
"114548",1,1
"114571",0,0
"1146",1,1
"114609",0,0
"114625",0,0
"114659",0,0
"1147",1,1
"114757",0,0
"114769",0,0
"114770",0,0
"114771",0,0
"114780",0,0
"114781",0,0
"114783",0,0
"114784",0,0
"114785",0,0
"114786",0,0
"114787",0,0
"114788",0,0
"114789",0,0
"114790",0,0
"114792",0,0
"114793",0,0
"114794",0,0
"114795",0,0
"114798",1,1
"114799",0,0
"114800",0,0
"114801",0,0
"114803",1,1
"114804",0,0
"114805",0,0
"114815",0,0
"114818",0,0
"114822",0,0
"114823",0,0
"114824",0,0
"114825",0,0
"114826",0,0
"114827",0,0
"114836",0,0
"114876",0,0
"114879",0,0
"114880",0,0
"114881",0,0
"114882",0,0
"114883",0,0
"114884",0,0
"114885",0,0
"114897",0,0
"114898",0,0
"114899",0,0
"1149",0,0
"114900",0,0
"114904",0,0
"114905",0,0
"114907",0,0
"114908",0,0
"114926",0,0
"114932",0,0
"114960",0,0
"114971",0,0
"114984",0,0
"114987",0,0
"114990",0,0
"114991",0,0
"115",0,0
"115004",0,0
"115019",0,1
"115024",0,0
"115098",0,0
"115106",0,0
"115111",0,0
"115123",0,0
"115196",0,0
"1152",0,0
"115201",0,0
"115207",0,0
"115209",0,0
"115265",0,0
"115273",0,0
"115286",1,1
"115294",0,0
"1153",0,0
"115330",0,0
"115350",0,0
"115352",0,0
"115353",0,0
"115361",0,0
"115362",0,0
"115399",1,1
"1154",0,0
"115416",0,0
"115426",0,0
"1155",0,0
"115509",0,0
"115548",0,0
"115557",0,0
"115560",0,0
"115572",0,0
"115584",0,0
"115650",1,1
"115653",0,0
"115677",0,0
"115701",0,0
"115703",0,0
"115704",0,0
"115708",0,0
"115727",0,0
"115749",0,0
"115752",0,0
"115761",0,0
"115795",0,0
"1158",0,0
"115811",0,0
"115817",0,0
"115825",0,0
"115827",0,0
"115861",0,0
"1159",0,0
"115908",1,1
"115939",0,0
"115948",1,1
"115950",0,0
"115992",0,0
"116",0,0
"1160",0,0
"116028",0,0
"116039",0,0
"116064",0,0
"116068",0,0
"116071",0,0
"116085",1,1
"116092",0,0
"116093",0,0
"1161",1,1
"116113",0,0
"116115",0,0
"116135",0,0
"116138",0,0
"116143",0,0
"116150",1,1
"116151",0,0
"116154",0,0
"116159",0,0
"116173",0,0
"116179",0,0
"116211",0,0
"116224",0,0
"116225",0,0
"116228",1,1
"116236",0,0
"116238",0,0
"116254",0,0
"116255",0,0
"116285",0,0
"1163",0,0
"116328",0,0
"116337",0,0
"116349",0,0
"116362",0,0
"116369",1,1
"116372",0,0
"116379",0,0
"1164",0,0
"116412",0,0
"116441",0,0
"116442",1,1
"116443",0,0
"116444",0,0
"116447",0,0
"116448",0,0
"116449",0,0
"116461",1,1
"116496",0,0
"116512",0,0
"116519",1,1
"116534",0,0
"116535",0,0
"116540",0,0
"116541",0,0
"116729",0,0
"116832",0,0
"116835",0,0
"116840",0,0
"116841",0,0
"116842",0,0
"116843",0,0
"116844",0,0
"116931",0,1
"116966",0,0
"116969",0,0
"116983",0,0
"116984",0,0
"116985",0,0
"116986",0,0
"116987",0,0
"116988",0,0
"117",0,0
"117143",0,0
"117144",1,1
"117145",0,0
"117154",0,0
"117155",1,1
"117156",1,1
"117157",0,0
"117159",0,0
"117166",0,0
"117177",0,0
"117178",0,0
"117194",0,0
"117195",0,0
"117196",0,0
"117245",0,0
"117246",0,0
"117247",0,0
"117248",0,0
"117283",0,0
"117285",0,0
"117286",0,0
"117289",0,0
"1173",1,1
"1174",1,1
"1175",1,1
"117531",1,1
"117532",0,0
"117579",0,0
"117581",1,1
"117583",0,0
"117584",0,0
"1176",0,0
"117608",0,0
"1178",0,0
"117854",0,0
"1179",0,0
"118",1,1
"1180",1,1
"1181",1,1
"1182",0,1
"1183",1,1
"1184",1,1
"118424",0,0
"118426",0,0
"118427",0,0
"118429",1,1
"118430",0,0
"118442",0,0
"118460",0,0
"118461",0,0
"118471",0,0
"118472",0,0
"118487",0,0
"118490",0,0
"118491",0,1
"1185",0,1
"1186",1,1
"118611",0,0
"118663",0,0
"118670",0,0
"118672",0,0
"1187",1,1
"118738",0,0
"118788",0,0
"1188",1,1
"118812",0,0
"118813",1,1
"118856",1,1
"118881",0,0
"118924",0,0
"118932",0,0
"118980",0,0
"118987",0,0
"119",0,0
"119016",0,0
"119032",0,0
"1191",0,0
"119180",0,0
"1193",1,1
"119391",0,0
"119392",0,0
"119395",0,0
"119467",0,0
"1195",0,0
"119504",0,0
"119548",0,0
"119559",1,1
"119587",0,0
"1196",0,0
"119678",0,0
"119679",0,0
"119682",0,0
"119687",0,0
"119692",0,0
"119694",0,0
"119710",0,0
"119749",0,0
"119764",0,0
"119765",0,0
"119772",0,0
"119774",0,0
"1198",0,0
"12",0,0
"120",1,1
"1200",1,1
"120065",0,0
"120066",0,0
"120071",0,0
"1201",1,1
"120103",0,0
"120114",0,0
"120224",0,0
"120227",1,1
"120237",0,0
"1203",1,1
"120376",0,0
"120379",0,0
"120400",0,0
"120406",0,0
"120425",0,0
"120526",0,0
"120534",0,0
"120586",0,0
"1207",0,0
"120775",0,0
"120776",0,0
"120787",0,0
"120793",0,0
